,#,Country,Name,Location,Time,From Previous,From First
28,29,USA,Jeanne Roiter,Duvall (Wa),00:53:51 ,+ 51'',at 15' 52''
29,30,Germany,Lara Friedrich,Heidelberg (Baden-Wuerttemberg),00:53:56 ,+ 05',at 15' 57''
30,31,Sweden,Tobias Priemer,Dalby (),00:54:13 ,+ 17'',at 16' 14''
31,32,Australia,Melissa Townsend,Runaway Bay (Qld),00:54:41 ,+ 28'',at 16' 42''
32,33,Spain,Ana Gil Luciano,Madrid,00:55:02 ,+ 21'',at 17' 03'
33,34,USA,Dawne Rasmusson,Prior Lake (Minnesota),00:55:08 ,+ 06',at 17' 09'
34,35,Denmark,Sofie Juel Andersen,Aarhus (None),00:55:36 ,+ 28'',at 17' 37''
35,36,USA,Karen Kavett,Los Angeles (California),00:55:43 ,+ 07',at 17' 44''
36,37,USA,Susanne Riehemann,Mountain View (California),00:55:54 ,+ 11'',at 17' 55''
37,38,Slovakia,Lenka Henao Mišíková,Lisbon,00:56:37 ,+ 43'',at 18' 38''
38,39,USA,Clara Peng,San Francisco (Ca),00:56:51 ,+ 14'',at 18' 52''
39,40,USA,Andrea Kyle,Saint Paul (Minnesota),00:57:02 ,+ 11'',at 19' 03'
40,41,Czech Republic,Adam Šuráň,Brno,00:57:12 ,+ 10'',at 19' 13''
41,42,USA,Meri Cartee,Saint Peters (Missouri),00:57:19 ,+ 07',at 19' 20''
42,43,France,Camille Auen,Ungersheim (Alsace),00:57:32 ,+ 13'',at 19' 33''
43,44,Spain,Cristina López Rodríguez,Móstoles (Madrid),00:57:42 ,+ 10'',at 19' 43''
44,45,USA,Sarah Schuler,St. Paul (Minnesota),00:57:58 ,+ 16'',at 19' 59''
45,46,Czech Republic,Jan Škoch,Prague,00:58:37 ,+ 39'',at 20' 38''
46,47,Hungary,Vanda Varga,Budapest,00:58:47 ,+ 10'',at 20' 48''
47,48,Germany,Michael Smit,Weissach (Baden-Württemberg),00:58:52 ,+ 05',at 20' 53''
48,49,USA,Tammy McLeod,Los Angeles (California),00:59:10 ,+ 18'',at 21' 11''
49,50,Sweden,Terese Scherman,Bandhagen,00:59:21 ,+ 11'',at 21' 22''
50,51,Spain,Claudia Carnicero Verde,Soria,00:59:30 ,+ 09',at 21' 31''
51,52,Czech Republic,Šárka Červinková,Hnatnice (Česká Republika),00:59:31 ,+ 01',at 21' 32''
52,53,Poland,Agata Zasada,Wrocław (Dolnośląskie),00:59:49 ,+ 18'',at 21' 50''
53,54,Spain,Luis Pavón Herrera,San Sebastián de los Reyes (Madrid),00:59:53 ,+ 04',at 21' 54''
54,55,France,Alexandre Huguenin,Cholet (Maine-Et-Loire),01:00:07 ,+ 14'',at 22' 08'
55,56,USA,Sarah Rowe,Williamstown (Ma),01:00:39 ,+ 32'',at 22' 40''
56,57,France,Sémilia Baylé,Toulouse (Haute-Garonne),01:00:46 ,+ 07',at 22' 47''
57,58,Spain,Ana Isabel Jimeno Jordá,Madrid,01:00:53 ,+ 07',at 22' 54''
58,59,USA,Elizabeth Caron,Hartford (Connecticut),01:01:03 ,+ 10'',at 23' 04'
59,60,Germany,Sinje Balzer,Meckenbeuren (Baden-Württemberg),01:01:14 ,+ 11'',at 23' 15''
60,61,USA,Becca Taylor,Redwood City (California),01:01:20 ,+ 06',at 23' 21''
61,62,Germany,Conrad Leuschner,Berlin,01:01:25 ,+ 05',at 23' 26''
62,63,Slovakia,Veronika Valt,Bratislava,01:01:26 ,+ 01',at 23' 27''
63,64,Poland,Aleksandra Chrząstek,Bydgoszcz (Kujawsko-Pomorskie),01:01:27 ,+ 01',at 23' 28''
64,65,USA,Kyle Kossin,Bountiful (Utah),01:01:32 ,+ 05',at 23' 33''
65,66,USA,Faith Taylor,Decatur (Georgia),01:01:40 ,+ 08',at 23' 41''
66,67,Hungary,Nora Vinkler,Szendehely,01:01:46 ,+ 06',at 23' 47''
67,68,Germany,Lisa-Marie Friedrich,Ottenhoefen Im Schwarzwald (Baden-Württemberg),01:02:06 ,+ 20'',at 24' 07'
68,69,Germany,Laura Pescher,Gelsenkirchen (Nrw),01:02:07 ,+ 01',at 24' 08'
69,70,Finland,Emilia Korhonen,Siilinjärvi (Pohjois-Savo),01:02:09 ,+ 02',at 24' 10''
70,71,Spain,Demelza Becerra Robledillo,Algeciras (Cádiz),01:02:19 ,+ 10'',at 24' 20''
71,72,Spain,Álvaro Fernández Novo,Torre del Bierzo (León),01:02:38 ,+ 19'',at 24' 39''
72,73,Germany,Sinthuya Jeyalingam,Stuttgart (Baden-Wurttemberg),01:02:43 ,+ 05',at 24' 44''
73,74,Sweden,Susanna Meder,Stockholm (Solna),01:02:45 ,+ 02',at 24' 46''
74,75,Canada,Devon Donaldson,Toronto (Ontario),01:02:46 ,+ 01',at 24' 47''
75,76,Russia,Daria Inozemtseva,Novosibirsk,01:02:55 ,+ 00',at 24' 56''
77,78,Czech Republic,Martin Petráž,Prague,01:02:58 ,+ 03',at 24' 59''
78,79,Germany,Jörn Schrieber,Hamburg,01:03:15 ,+ 17'',at 25' 16''
79,80,Sweden,Josefin Lantz,Solna (Stockholm),01:03:28 ,+ 13'',at 25' 29''
80,81,Norway,Veronica Nes,Kristiansand (Agder),01:03:38 ,+ 10'',at 25' 39''
81,82,Finland,Emilia Liberman,Espoo (Uusimaa),01:03:57 ,+ 19'',at 25' 58''
82,83,Czech Republic,Helen Karmínová Kellner,Plzeň (Czech Republic),01:04:02 ,+ 05',at 26' 03'
83,84,Australia,Ellie Higgins,Melbourne (Victoria),01:04:03 ,+ 01',at 26' 04'
84,85,Switzerland,Patrick Inniger,Thun (Bern),01:04:05 ,+ 02',at 26' 06'
85,86,Brazil,Ednéia Silveira,Cruzeiro (São Paulo),01:04:08 ,+ 00',at 26' 09'
87,88,Sweden,Lena Karlsson,Örsundsbro (Uppland),01:04:09 ,+ 01',at 26' 10''
88,89,Denmark,Olivia Waltz,Copenhagen (Hovedstaden),01:04:15 ,+ 06',at 26' 16''
89,90,Spain,José Manuel Corbí Garrido,Madrid,01:04:17 ,+ 02',at 26' 18''
90,91,UK,Nicola Thomas,Marlow (Buckinghamshire),01:04:18 ,+ 01',at 26' 19''
91,92,Bulgaria,Elitsa Kerefeyska,Varna,01:04:32 ,+ 14'',at 26' 33''
92,93,USA,Robin Decaire,Woodbury (Minnesota),01:04:39 ,+ 07',at 26' 40''
93,94,Sweden,Frida Westler,Gothenburg,01:04:42 ,+ 03',at 26' 43''
94,95,Czech Republic,Eva Žemličková,Štěnovický Borek (Česká Republika),01:04:51 ,+ 09',at 26' 52''
95,96,Canada,Agnes Roche,Jersey City (Nj),01:05:08 ,+ 17'',at 27' 09'
96,97,Sweden,Sara Kristersson,Malmö (Skåne),01:05:13 ,+ 05',at 27' 14''
97,98,Poland,Martyna Halter-Bogołębska,Warsaw (Mazowieckie),01:05:20 ,+ 07',at 27' 21''
98,99,France,Catherine Valentin,Bruxelles,01:05:26 ,+ 06',at 27' 27''
99,100,USA,Kimberly Kenne,Pasadena (California),01:05:53 ,+ 27'',at 27' 54''
100,101,USA,Doug Ellwanger,(California),01:05:55 ,+ 02',at 27' 56''
101,102,USA,Hannah Scott,Herndon (Virginia),01:06:00 ,+ 05',at 28' 01'
102,103,Austria,Julia Hildebrandt,Berlin,01:06:11 ,+ 11'',at 28' 12''
103,104,Poland,Paulina Polańska,Wrocław (Dolnośląskie),01:06:16 ,+ 05',at 28' 17''
104,105,Norway,Linda Bremnes Anderssen,Valnesfjord (Nordland),01:06:27 ,+ 11'',at 28' 28''
105,106,Spain,Paula Morales Barrón,Algeciras (Cádiz),01:06:31 ,+ 04',at 28' 32''
106,107,Germany,Anna Menges,Köln (North Rhine-Westfalia),01:06:32 ,+ 01',at 28' 33''
107,108,Estonia,Elisabeth Merendi,Viljandi (Viljandimaa),01:06:35 ,+ 03',at 28' 36''
108,109,Poland,Marta Kulpa,Kraków (Poland),01:06:47 ,+ 12'',at 28' 48''
109,110,Netherlands,Charlotte Reitsema,Sixthaselbach (Bavaria),01:06:55 ,+ 08',at 28' 56''
110,111,Sweden,Cornelia Byström,Stockholm,01:07:10 ,+ 15'',at 29' 11''
111,112,Germany,Marc Fabel,Hamburg,01:07:17 ,+ 07',at 29' 18''
112,113,Netherlands,Maaike Van den Brink,Utrecht,01:07:21 ,+ 04',at 29' 22''
113,114,Luxembourg,Joyce Petry,Vianden,01:07:53 ,+ 32'',at 29' 54''
114,115,Denmark,Iris Bakker,Aarhus (Midtjylland),01:08:00 ,+ 07',at 30' 01'
115,116,France,Estelle Fougerousse,La Côte Saint André (Isère),01:08:06 ,+ 06',at 30' 07'
116,117,Poland,Monika Nawrot,Warsaw (Mazovia),01:08:10 ,+ 04',at 30' 11''
117,118,Netherlands,Sandra Keetman,Heerhugowaard (Noord Holland),01:08:25 ,+ 15'',at 30' 26''
118,119,UK,Helen Savin,Winsford (Chesh),01:08:28 ,+ 03',at 30' 29''
119,120,Finland,Emilia Eloranta,Helsinki (Uusimaa),01:08:54 ,+ 26'',at 30' 55''
120,121,USA,Alycia Krasny,San Diego (California),01:08:55 ,+ 01',at 30' 56''
121,122,Australia,Jessica Bennett,Boronia (Vic),01:08:59 ,+ 04',at 31' 00'
122,123,Spain,Rafael Amieva Gómez,Madrid,01:09:08 ,+ 09',at 31' 09'
123,124,Spain,Diana Santillán Perosanz,Castillo de la Vega (Burgos),01:09:37 ,+ 29'',at 31' 38''
124,125,Germany,Sam Gerkamp,Berlin,01:09:40 ,+ 03',at 31' 41''
125,126,Brazil,Daniela De Oliveira Dinato,São Sebastião (São Paulo),01:09:45 ,+ 05',at 31' 46''
126,127,Spain,Julen Simón Iriarte,Pamplona (Navarra),01:10:04 ,+ 19'',at 32' 05'
127,128,Luxembourg,Delphine Claisse,Arlon (Luxembourg),01:10:10 ,+ 00',at 32' 11''
129,130,Spain,Raquel Pérez Mesón,Salamanca,01:10:19 ,+ 09',at 32' 20''
130,131,China,Jiahui Li,Shenzhen (Guangdong),01:10:20 ,+ 01',at 32' 21''
131,132,Portugal,Mariana Mendes,Quarteira (Faro),01:10:22 ,+ 02',at 32' 23''
132,133,Italy,Michela Utili,Riolo Terme (Ravenna),01:10:24 ,+ 02',at 32' 25''
133,134,Spain,Jesús Lacasta Romero,Mutilva (Navarra),01:10:45 ,+ 21'',at 32' 46''
134,135,Poland,Aleksandra Nagajek,Wrocław (Dolnośląskie),01:10:49 ,+ 04',at 32' 50''
135,136,Germany,Maria Graber,Berlin,01:10:50 ,+ 01',at 32' 51''
136,137,USA,Amy Paull,The Woodlands (Tx),01:11:17 ,+ 27'',at 33' 18''
137,138,USA,Alyssa Zackler,Stevenson Ranch (California),01:11:19 ,+ 02',at 33' 20''
138,139,Canada,Kaitlyn McCluskie,Toronto (On),01:11:45 ,+ 26'',at 33' 46''
139,140,Germany,Janna Franzkeit,Hamburg,01:11:53 ,+ 08',at 33' 54''
140,141,France,Patrice De Goncourt,Aubigne-Racan (Sarthe),01:12:46 ,+ 53'',at 34' 47''
141,142,Sweden,Fia Wärn,Svärtinge,01:13:20 ,+ 34'',at 35' 21''
142,143,Poland,Dorota Gapinska,Warsaw (Mazovia),01:13:41 ,+ 21'',at 35' 42''
143,144,USA,Whitney Presley,Denver (Columbia),01:13:50 ,+ 09',at 35' 51''
144,145,Spain,David Corbí Garrido,Madrid,01:13:58 ,+ 08',at 35' 59''
145,146,Germany,Luisa Gerlach,Berlin (Germany),01:14:07 ,+ 09',at 36' 08'
146,147,Australia,Louise Jackett,Melbourne (Vic),01:14:18 ,+ 11'',at 36' 19''
147,148,France,Jessie Lajarrige,Bodilis (France),01:14:24 ,+ 06',at 36' 25''
148,149,UK,Victoria Clifford,Stirling (Stirlingshire),01:14:43 ,+ 19'',at 36' 44''
149,150,Spain,Coral Cervantes Domínguez,Ciudad Real,01:14:52 ,+ 09',at 36' 53''
150,151,Spain,Meritxell Dalmau Diviu,Mataró (Barcelona),01:15:40 ,+ 48'',at 37' 41''
151,152,Japan,Natsuko Moriwaki,町田 (東京),01:15:49 ,+ 09',at 37' 50''
152,153,UK,Sarah Jane Bodell,London (England),01:15:59 ,+ 10'',at 38' 00'
153,154,Germany,Cosima Timpe,Karlsruhe (Baden-Württemberg),01:16:16 ,+ 17'',at 38' 17''
154,155,USA,Melynda Owens,Hurst (Texas),01:16:41 ,+ 25'',at 38' 42''
155,156,USA,Jessica Derby,Minneapolis (Minnesota),01:16:53 ,+ 12'',at 38' 54''
156,157,Germany,Sonja Barthelmes,Hamburg,01:17:07 ,+ 14'',at 39' 08'
157,158,USA,Betsy Parker,Roseville (Minnesota),01:17:20 ,+ 13'',at 39' 21''
158,159,Czech Republic,Izabela Peterková,Kravaře (Česká Republika),01:17:22 ,+ 02',at 39' 23''
159,160,USA,Elizabeth Walters,Crystal (Minnesota),01:18:24 ,+1' 02',at 40' 25''
160,161,Spain,Fernando Roca Fleque,Benicarló (Castellón),01:18:40 ,+ 16'',at 40' 41''
161,162,Germany,Maren Faber,Lübeck (Schleswig-Holstein),01:18:55 ,+ 15'',at 40' 56''
162,163,Bulgaria,Petya Bambova,Sofia (София),01:18:56 ,+ 01',at 40' 57''
163,164,Slovenia,Janette Perme,Ljubljana (Central Slovenia),01:19:52 ,+ 56'',at 41' 53''
164,165,Spain,Cristina Cabrera Clarisó,Barcelona,01:20:17 ,+ 25'',at 42' 18''
165,166,USA,Lindsay Steenstra,San Diego (California),01:20:19 ,+ 02',at 42' 20''
166,167,Argentina,Lisa Marisel Joffrés,Godoy Cruz (Mendoza),01:20:50 ,+ 31'',at 42' 51''
167,168,Malta,Madalena Zammit,Zurrieq,01:20:55 ,+ 05',at 42' 56''
168,169,Austria,Lucia Haemmerle,Krems (Lower Austria),01:21:16 ,+ 21'',at 43' 17''
169,170,Israel,Yasmeen Almog,Jackson Hole (Wyoming),01:24:19 ,+3' 03',at 46' 20''
170,171,Italy,Sandra Iorio,Merano (Bolzano),01:25:08 ,+ 49'',at 47' 09'
171,172,New,Zealand Donnalouise Gragg,Dunedin (Otago),01:25:25 ,+ 17'',at 47' 26''
172,173,Belarus,Maya Binetskaya,Madrid,01:26:07 ,+ 42'',at 48' 08'
173,174,New,Zealand Andrea Boughey,Auckland,01:27:32 ,+1' 25'',at 49' 33''
174,175,Portugal,Mª Francisca Cunha,Porto,01:28:08 ,+ 36'',at 50' 09'
175,176,Ireland,Siobhán Quinn,Thurles (Tipperary),01:28:31 ,+ 23'',at 50' 32''
176,177,Ukraine,Liudmyla Shapa,Dnipro,473 Pieces,,
177,178,Australia,Justine Dunn,Ashfield (New South Wales),449 Pieces,,
178,179,Ireland,Alexander Kattan,Jupiter (Florida),447 Pieces,,
179,180,Argentina,Ayelén Galarza Rial,CABA,445 Pieces,,
